"Geographic identifier code",FIPS,"Geographic area name","2012 NAICS code","Meaning of 2012 NAICS code",Year,"Number of establishments","Paid employees for pay period including March 12 (number)","First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US18149,18149,"Starke County, Indiana",0,"Total for all sectors",2013,304,2836,19443,"$78,895 "
0500000US18151,18151,"Steuben County, Indiana",0,"Total for all sectors",2013,971,13140,94097,"$402,046 "
0500000US18153,18153,"Sullivan County, Indiana",0,"Total for all sectors",2013,338,4619,50410,"$195,671 "
0500000US18155,18155,"Switzerland County, Indiana",0,"Total for all sectors",2013,131,1814,11061,"$47,179 "
0500000US18157,18157,"Tippecanoe County, Indiana",0,"Total for all sectors",2013,3369,64443,601497,"$2,439,996 "
0500000US18159,18159,"Tipton County, Indiana",0,"Total for all sectors",2013,305,3162,27129,"$114,367 "
0500000US18161,18161,"Union County, Indiana",0,"Total for all sectors",2013,111,884,5944,"$24,715 "
0500000US18163,18163,"Vanderburgh County, Indiana",0,"Total for all sectors",2013,4981,109426,990243,"$3,953,099 "
0500000US18165,18165,"Vermillion County, Indiana",0,"Total for all sectors",2013,262,3360,41233,"$156,834 "
0500000US18167,18167,"Vigo County, Indiana",0,"Total for all sectors",2013,2491,45346,385583,"$1,611,760 "
0500000US18169,18169,"Wabash County, Indiana",0,"Total for all sectors",2013,756,10901,83478,"$341,838 "
0500000US18171,18171,"Warren County, Indiana",0,"Total for all sectors",2013,119,1349,10907,"$46,413 "
0500000US18173,18173,"Warrick County, Indiana",0,"Total for all sectors",2013,1109,13443,134760,"$549,854 "
0500000US18175,18175,"Washington County, Indiana",0,"Total for all sectors",2013,435,4305,29839,"$124,669 "
0500000US18177,18177,"Wayne County, Indiana",0,"Total for all sectors",2013,1527,25456,210746,"$873,575 "
0500000US18179,18179,"Wells County, Indiana",0,"Total for all sectors",2013,619,9553,76506,"$326,881 "
0500000US18181,18181,"White County, Indiana",0,"Total for all sectors",2013,601,6867,54245,"$231,311 "
0500000US18183,18183,"Whitley County, Indiana",0,"Total for all sectors",2013,672,10185,89400,"$374,350 "
0500000US19001,19001,"Adair County, Iowa",0,"Total for all sectors",2013,187,1663,12072,"$51,412 "
0500000US19003,19003,"Adams County, Iowa",0,"Total for all sectors",2013,118,884,6302,"$27,945 "
0500000US19005,19005,"Allamakee County, Iowa",0,"Total for all sectors",2013,396,4517,30125,"$127,730 "
0500000US19007,19007,"Appanoose County, Iowa",0,"Total for all sectors",2013,312,3437,23699,"$97,116 "
0500000US19009,19009,"Audubon County, Iowa",0,"Total for all sectors",2013,181,1176,8131,"$34,733 "
0500000US19011,19011,"Benton County, Iowa",0,"Total for all sectors",2013,566,4366,32401,"$142,946 "
0500000US19013,19013,"Black Hawk County, Iowa",0,"Total for all sectors",2013,3203,68753,616323,"$2,518,270 "
0500000US19015,19015,"Boone County, Iowa",0,"Total for all sectors",2013,553,6824,53690,"$225,350 "
